batch_id,adapter,q_type,input_granularity,ticker_or_universe_id,decision_date,success,schema_valid,runtime_seconds,timeout,error_message,raw_output_path,normalized_output_path,requires_api_key,requires_broker_credentials,supports_historical_date,notes
observation_batch_day1,agentictrading,Q5,backtest-level,portfolio_universe,2026-07-06,True,True,10.09,False,,results/observations/observation_batch_day1/2026-07-06/agentictrading/Q5/portfolio_universe.raw.json,results/observations/observation_batch_day1/2026-07-06/agentictrading/Q5/portfolio_universe.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,NVDA,2026-07-06,True,True,12.46,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/NVDA.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/NVDA.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,AAPL,2026-07-06,True,True,11.65,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/AAPL.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/AAPL.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,MSFT,2026-07-06,True,True,12.25,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/MSFT.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/MSFT.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,TSLA,2026-07-06,True,True,16.33,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/TSLA.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/TSLA.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,SPY,2026-07-06,True,True,9.04,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/SPY.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/SPY.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,QQQ,2026-07-06,True,True,8.58,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/QQQ.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/QQQ.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,JPM,2026-07-06,True,True,9.1,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/JPM.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/JPM.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,XOM,2026-07-06,True,True,8.49,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/XOM.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/XOM.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,NVDA,2026-07-06,True,True,102.39,False,,results/observations/observation_batch_day1/2026-07-06/alphagen/Q3/NVDA.raw.json,results/observations/observation_batch_day1/2026-07-06/alphagen/Q3/NVDA.json,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,JNJ,2026-07-06,True,True,9.53,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/JNJ.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/JNJ.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,ai_hedge_fund,Q1,ticker-level,GLD,2026-07-06,True,True,9.64,False,,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/GLD.raw.json,results/observations/observation_batch_day1/2026-07-06/ai_hedge_fund/Q1/GLD.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,NVDA,2026-07-06,True,True,104.68,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/NVDA.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/NVDA.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,AAPL,2026-07-06,False,False,120.06,True,timed out after 120s,,,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,AAPL,2026-07-06,True,True,96.42,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/AAPL.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/AAPL.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,MSFT,2026-07-06,False,False,120.06,True,timed out after 120s,,,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,MSFT,2026-07-06,True,True,87.43,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/MSFT.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/MSFT.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,TSLA,2026-07-06,False,False,120.06,True,timed out after 120s,,,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,TSLA,2026-07-06,True,True,102.08,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/TSLA.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/TSLA.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,SPY,2026-07-06,False,False,120.06,True,timed out after 120s,,,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,SPY,2026-07-06,True,True,98.72,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/SPY.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/SPY.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,alphagen,Q3,ticker-level,QQQ,2026-07-06,False,False,120.06,True,timed out after 120s,,,False,False,likely true (static heuristic: date/window-driven data fetch found),
observation_batch_day1,finclaw,Q3,ticker-level,QQQ,2026-07-06,True,True,105.87,False,,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/QQQ.raw.json,results/observations/observation_batch_day1/2026-07-06/finclaw/Q3/QQQ.json,True,False,likely true (static heuristic: date/window-driven data fetch found),
